Energy_Regular,Energy_Remix,Track_Name_edited
0.648,0.685,moscow 
0.781,0.863,where are ü now 
0.708,0.974,symphonica 
0.805,0.858,runaway 
0.723,0.951,how you love me 
0.714,0.95,mama 
0.745,0.96,say my name 
0.781,0.863,where are ü now 
0.328,0.7,be as you are 
0.699,0.864,don't worry 
0.635,0.79,no sleep 
0.564,0.817,good thing 
0.505,0.83,takeaway 
0.621,0.835,south of the border 
0.648,0.919,beautiful people 
0.768,0.774,hate me 
0.806,0.879,can we pretend 
0.723,0.78,summer days 
0.675,0.916,i don't care 
0.794,0.871,nothing breaks like a heart 
0.52,0.557,dancing with a stranger 
0.804,0.9,bones 
0.758,0.839,close to me 
0.651,0.859,this feeling 
0.406,0.823,i'm a mess 
0.764,0.946,body 
0.738,0.949,don't leave me alone 
0.862,0.784,one kiss 
0.636,0.946,solo 
0.725,0.764,i wanna know 
0.858,0.837,without you 
0.656,0.64,lonely together 
0.658,0.9,i miss you 
0.437,0.772,dusk till dawn 
0.672,0.754,all falls down 
0.524,0.559,closer 
0.817,0.791,swalla 
0.836,0.921,my best life 
0.842,0.883,spaceship 
0.86,0.797,upside down 
0.642,0.887,post malone 
0.758,0.84,loco contigo 
0.498,0.738,kiss it better 
0.738,0.835,stay the night 
0.748,0.883,heroes 
0.787,0.652,titanium 
0.268,0.471,"i hate u, i love u "
0.798,0.542,cold water 
0.524,0.559,closer 
0.715,0.581,working for it 
0.605,0.826,symphony 
0.817,0.668,swalla 
0.471,0.672,hola 
0.828,0.859,safety 
0.471,0.859,make me 
0.82,0.782,it's all on u 
0.532,0.769,say it 
0.894,0.895,how to love 
0.532,0.769,say it 
0.65,0.686,habits 
0.847,0.648,a sky full of stars 
0.328,0.685,be as you are 
0.989,0.969,everybody is in the place 
0.923,0.866,animals 
0.986,0.972,gunshot 
0.916,0.953,booyah 
0.928,0.833,bazooka 
0.555,0.484,tsunami 
0.918,0.978,you 
0.967,0.981,smash! 
0.576,0.854,treat you better 
0.576,0.919,treat you better 
0.862,0.752,one kiss 
0.819,0.846,sway 
0.869,0.791,i need your love 
0.781,0.796,take me 
0.878,0.552,beam me up 
0.847,0.844,we are the ones 
0.505,0.83,takeaway 
0.866,0.792,ignite 
0.52,0.493,so far away 
0.672,0.88,all falls down 
0.819,0.727,complicated 
0.923,0.869,animals 
0.865,0.653,with u 
0.933,0.834,toulouse 
0.771,0.972,gold skies 
0.912,0.93,delirious 
0.759,0.791,watch out for this 
0.841,0.86,virus 
0.579,0.556,pursuit of happiness 
0.847,0.657,a sky full of stars 
0.933,0.91,toulouse 
0.905,0.949,i love it 
0.929,0.62,sweet nothing 
0.771,0.972,gold skies 
0.863,0.775,when love takes over 
0.586,0.818,this is miami 
0.776,0.934,alone 
0.865,0.868,we got that cool 
0.896,0.879,drop that low 
0.928,0.815,unlove you 
0.888,0.889,like home 
0.579,0.695,pursuit of happiness 
0.933,0.91,toulouse 
0.923,0.868,animals 
0.916,0.953,booyah 
0.886,0.879,thunder 
0.708,0.725,symphonica 
0.919,0.943,tremor 
0.888,0.915,arcadia 
0.887,0.88,giant 
0.444,0.967,grip 
0.747,0.825,god is a dancer 
0.693,0.733,used to love 
0.642,0.903,post malone 
0.574,0.814,summer air 
0.694,0.782,mistaken 
0.771,0.972,gold skies 
0.705,0.684,carry on 
0.933,0.911,toulouse 
0.738,0.818,don't leave me alone 
0.73,0.995,wake turbulence 
0.693,0.92,sad song 
0.797,0.907,stay 
0.803,0.84,this is how we party 
0.574,0.832,it won't stop 
